X	Freq	Value
-0.518	7007.8	0.0027
-0.518	7171.9	0.0091
-0.518	7335.9	0.0013
-0.518	7500.0	-0.0054
-0.518	7664.1	-0.0022
-0.518	7828.1	-0.0050
-0.518	7992.2	0.0070

-0.477	0.0	0.3108
-0.477	140.6	0.0040
-0.477	304.7	-0.0844
-0.477	468.8	-0.0134
-0.477	632.8	-0.0088
-0.477	796.9	0.0280
-0.477	960.9	-0.0021
-0.477	1125.0	0.0443
-0.477	1289.1	-0.0125
-0.477	1453.1	0.0073
-0.477	1617.2	-0.0410
-0.477	1781.2	-0.0096
-0.477	1945.3	-0.0069
-0.477	2109.4	0.0055
-0.477	2273.4	0.0018
-0.477	2437.5	0.0103
-0.477	2601.6	-0.0015
-0.477	2765.6	-0.0077
-0.477	2929.7	0.0016
-0.477	3093.8	0.0006
-0.477	3257.8	0.0043
-0.477	3421.9	-0.0059
-0.477	3585.9	0.0027
-0.477	3750.0	-0.0048
-0.477	3914.1	0.0035
-0.477	4054.7	0.0029
-0.477	4218.8	-0.0034
-0.477	4382.8	0.0027
-0.477	4546.9	0.0021
-0.477	4710.9	0.0066
-0.477	4875.0	0.0055
-0.477	5039.1	-0.0038
-0.477	5203.1	0.0021
-0.477	5367.2	0.0005
-0.477	5531.2	-0.0063
-0.477	5695.3	-0.0084
-0.477	5859.4	0.0043
-0.477	6023.4	-0.0038
-0.477	6187.5	-0.0039
-0.477	6351.6	-0.0070
-0.477	6515.6	0.0086
-0.477	6679.7	-0.0006
-0.477	6843.8	0.0079
-0.477	7007.8	-0.0025
-0.477	7171.9	-0.0090
-0.477	7335.9	-0.0017
-0.477	7500.0	0.0053
-0.477	7664.1	0.0015
-0.477	7828.1	0.0063
-0.477	7992.2	-0.0044

-0.437	0.0	0.3108
-0.437	140.6	0.0017
-0.437	304.7	-0.0463
-0.437	468.8	-0.0137
-0.437	632.8	-0.0085
-0.437	796.9	0.0154
-0.437	960.9	0.0012
-0.437	1125.0	0.0507
-0.437	1289.1	-0.0019
-0.437	1453.1	0.0054
